parameter_index,parameter_name,base_log_slope,base_slope,base_objective,step_index,multiplier,log_sel_slope_longline,sel_slope_longline,objective,delta_objective,status,message
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,0,0.4,-0.527496335566457,0.590080485333627,2457.36501172374,521.228742465022,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,1,0.5,-0.304352784252248,0.737600606667033,2278.68537044502,342.549101186307,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,2,0.6,-0.122031227458293,0.88512072800044,2140.87608684764,204.739817588922,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,3,0.7,0.0321194523689653,1.03264084933385,2044.6767869294,108.540517670684,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,4,0.75,0.101112323855917,1.10640091000055,2010.06613891955,73.9298696608382,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,5,0.8,0.165650844993488,1.18016097066725,1982.63540958482,46.4991403261024,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,6,0.85,0.226275466809923,1.25392103133396,1961.76085712941,25.6245878706952,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,7,0.9,0.283433880649871,1.32768109200066,1947.22242010728,11.0861508485684,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,8,0.95,0.337501101920147,1.40144115266736,1938.81425908669,2.67798982797922,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,9,0.975,0.363476588323408,1.43832118300072,1936.79253238483,0.656263126114027,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,10,1,0.388794396307698,1.47520121333407,1936.13626925871,0,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,11,1.025,0.413487008898069,1.51208124366742,1936.76596397518,0.629694716466702,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,12,1.05,0.43758456047713,1.54896127400077,1938.59697991952,2.46071066080094,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,13,1.1,0.484104576112023,1.62272133466747,1945.52185526988,9.38558601116392,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,14,1.15,0.528556338682856,1.69648139533418,1956.26406674771,20.1277974889936,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,15,1.2,0.571115953101652,1.77024145600088,1970.26950125817,34.1332319994556,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,16,1.3,0.651158660775189,1.91776157733429,2006.38167936547,70.2454101067588,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,17,1.4,0.725266632928911,2.06528169866769,2051.24091675112,115.104647492405,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,18,1.6,0.858798025553433,2.36032194133451,2159.51491944441,223.378650185697,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,19,1.8,0.976581061209817,2.65536218400132,2281.39160889585,345.255339637135,ok,"ok"
5,logit_sel_a50_longline,0.388794396307698,1.47520121333407,1936.13626925871,20,2,1.08194157686764,2.95040242666813,2406.86737355046,470.731104291749,ok,"ok"
